control_date,event_count,candidate_universe_id,candidate_symbol_count,candidate_symbols,source_repository,source_revision,source_blob_sha,source_kind,admissibility_status,blocking_reason
2011-10-21,1,retrospective-samplefirms:2011-10-21,5,GE|HAR|KCI|KSU|VVI,vgreg/hacked_earnings_jfe,c23c7d79d067a79d70cf20e31b072d3703497eae,bbb68de172f7ab2104714513a72547f3dad3b86c,RETROSPECTIVE_SAMPLE_FIRMS,DEFINITION_ONLY_NOT_POINT_IN_TIME,RETROSPECTIVE_SAMPLE_NOT_POINT_IN_TIME
2011-10-26,1,retrospective-samplefirms:2011-10-26,72,ABD|ACPW|ACXM|AGN|AMP|ARW|ATI|ATR|AVY|BEAV|BHB|BMC|BOKF|BYI|CGI|CLUB|CMP|COP|CPX|CYH|DPS|DXPE|EGN|EQIX|ESSA|EXC|FOE|FORR|FSLR|GLW|HBOS|HRS|IDCC|ITRI|JMP|KAI|KBR|KNX|MWV|NETL|PCTI|PMTC|PROJ|PX|RUTH|RYL|S|SEE|SFE|SFLY|SIFI|SJW|SKX|SLAB|SLGN|SPNC|SRCL|SSYS|SUSQ|SYA|TAL|TBI|TER|TEX|TMO|TMP|TQNT|TRH|TWI|TYL|WIRE|WRB,vgreg/hacked_earnings_jfe,c23c7d79d067a79d70cf20e31b072d3703497eae,bbb68de172f7ab2104714513a72547f3dad3b86c,RETROSPECTIVE_SAMPLE_FIRMS,DEFINITION_ONLY_NOT_POINT_IN_TIME,RETROSPECTIVE_SAMPLE_NOT_POINT_IN_TIME
2011-10-27,1,retrospective-samplefirms:2011-10-27,112,ACAT|AET|AMKR|ARBA|ARG|ART|ASGN|AVID|AVT|BABY|BBW|BCO|BNCL|BRKR|BRY|CAB|CAP|CBG|CCE|CL|CLD|CLW|CPSI|CRI|CRIS|CROX|CTCT|CTXS|CWEI|DECK|DLA|DLLR|DNB|DPL|DRIV|DYAX|ELX|EME|EMN|EPAY|EQT|ERTS|EVR|EXEL|EXP|FLWS|FVE|GB|GDOT|GIFI|GILD|GLCH|GSIT|GTI|HOT|HPY|HS|HSY|INCY|INSP|IRM|JDAS|KBW|KOPN|LCC|LL|LLL|MCO|MDS|MET|MGI|MGLN|MJN|MO|MOD|MRT|MSI|MTRN|MWW|NANO|NCR|ODFL|OXY|PACR|PFCB|PFG|PG|PMCS|QLGC|QSII|RGC|RGS|RS|RSYS|RTIX|SCSC|SHOR|SNMX|SNV|SONS|SRT|SXI|TDY|TWC|UQM|VMED|VRTX|VSEC|WM|WMAR|WOOF|XOM,vgreg/hacked_earnings_jfe,c23c7d79d067a79d70cf20e31b072d3703497eae,bbb68de172f7ab2104714513a72547f3dad3b86c,RETROSPECTIVE_SAMPLE_FIRMS,DEFINITION_ONLY_NOT_POINT_IN_TIME,RETROSPECTIVE_SAMPLE_NOT_POINT_IN_TIME
2012-01-23,2,retrospective-samplefirms:2012-01-23,6,CR|HAL|KSU|PKG|TBBK|TWIN,vgreg/hacked_earnings_jfe,c23c7d79d067a79d70cf20e31b072d3703497eae,bbb68de172f7ab2104714513a72547f3dad3b86c,RETROSPECTIVE_SAMPLE_FIRMS,DEFINITION_ONLY_NOT_POINT_IN_TIME,RETROSPECTIVE_SAMPLE_NOT_POINT_IN_TIME
2012-01-24,6,retrospective-samplefirms:2012-01-24,20,AAPL|BKI|CBSH|COH|ETH|MRCY|NRIM|OSIS|RF|RKT|SBNY|SMCI|SNV|TCB|TRMK|TSS|UMBF|WAT|WSTL|YHOO,vgreg/hacked_earnings_jfe,c23c7d79d067a79d70cf20e31b072d3703497eae,bbb68de172f7ab2104714513a72547f3dad3b86c,RETROSPECTIVE_SAMPLE_FIRMS,DEFINITION_ONLY_NOT_POINT_IN_TIME,RETROSPECTIVE_SAMPLE_NOT_POINT_IN_TIME
2012-01-25,7,retrospective-samplefirms:2012-01-25,41,ATI|BANR|BRKL|CGI|COP|CTS|CTXS|EGN|ESSA|ETFC|EXC|GLW|HXL|KNX|LCC|MOLXA|MSI|MUR|MWV|NYB|OXY|PII|PJC|PMTC|PX|RLI|ROK|SLAB|SNDK|STJ|SUSQ|SWK|SYBT|TER|TMP|TXT|UGI|UMPQ|URI|VIVO|WLP,vgreg/hacked_earnings_jfe,c23c7d79d067a79d70cf20e31b072d3703497eae,bbb68de172f7ab2104714513a72547f3dad3b86c,RETROSPECTIVE_SAMPLE_FIRMS,DEFINITION_ONLY_NOT_POINT_IN_TIME,RETROSPECTIVE_SAMPLE_NOT_POINT_IN_TIME
2012-01-26,6,retrospective-samplefirms:2012-01-26,54,ACAT|ARBA|ARG|ART|AVT|BAX|BNCL|BPFH|CASS|CL|CPSI|CRS|CRUS|CSH|CY|DLA|DLLR|DLX|DV|ELX|EMN|EQT|FLWS|GDOT|GSIT|HBOS|HUBB|JBHT|JNS|LNBB|MBFI|MJN|MKC|MMM|MWW|NPBC|NST|QLGC|QSII|RGS|RMBS|RRR|RVBD|RYL|SBUX|SCSC|T|TDY|TSRA|TWC|TZOO|UBSI|WERN|WMS,vgreg/hacked_earnings_jfe,c23c7d79d067a79d70cf20e31b072d3703497eae,bbb68de172f7ab2104714513a72547f3dad3b86c,RETROSPECTIVE_SAMPLE_FIRMS,DEFINITION_ONLY_NOT_POINT_IN_TIME,RETROSPECTIVE_SAMPLE_NOT_POINT_IN_TIME
2012-01-27,1,retrospective-samplefirms:2012-01-27,9,CMCO|CPX|CVX|GHM|MO|NEE|NWL|PG|SCBT,vgreg/hacked_earnings_jfe,c23c7d79d067a79d70cf20e31b072d3703497eae,bbb68de172f7ab2104714513a72547f3dad3b86c,RETROSPECTIVE_SAMPLE_FIRMS,DEFINITION_ONLY_NOT_POINT_IN_TIME,RETROSPECTIVE_SAMPLE_NOT_POINT_IN_TIME
2012-07-31,1,retrospective-samplefirms:2012-07-31,111,ABCO|ABFS|ACAS|ACOR|ADM|AET|AFFX|AJG|ALL|ATML|AUXL|BBOX|BMC|BRKR|BTUI|CAS|CBT|CECO|CEVA|CIE|CLD|CMI|CNW|CODE|COH|CRS|CRY|CVG|CVLT|DENN|DIN|DISCA|DISCB|DRIV|DWA|EA|EIX|ETR|EXAC|FALC|FARO|FMC|FTR|GLT|GNW|GT|GUID|HBI|HPY|HRS|HW|ININ|IPGP|IPXL|ITC|JLL|KEYN|KRA|LCAV|LIFE|LPLA|LQDT|LXRX|MD|MDC|MDSO|MGAM|MGRC|MLM|MWA|NBIX|NI|NMRX|OCLR|OKE|OPTR|PAG|PCTI|PEG|PFE|POL|PXD|PZZA|QEP|RATE|RBC|RJET|RLOC|ROG|RTIX|SCMF|SHF|SIMG|SYX|TECH|TFX|TMH|TRLG|TRW|TTWO|TVL|TWIN|ULTI|UNT|VRTS|VSH|WAIR|WTS|X|XCO|ZBRA,vgreg/hacked_earnings_jfe,c23c7d79d067a79d70cf20e31b072d3703497eae,bbb68de172f7ab2104714513a72547f3dad3b86c,RETROSPECTIVE_SAMPLE_FIRMS,DEFINITION_ONLY_NOT_POINT_IN_TIME,RETROSPECTIVE_SAMPLE_NOT_POINT_IN_TIME
2013-02-19,1,retrospective-samplefirms:2013-02-19,23,BCRX|BRKR|CCO|CF|CLUB|DELL|DMD|EE|FNGN|NU|QEP|RAIL|ROC|ROG|RRGB|SEE|TEX|TNC|TREX|TXRH|UAM|UNT|WTS,vgreg/hacked_earnings_jfe,c23c7d79d067a79d70cf20e31b072d3703497eae,bbb68de172f7ab2104714513a72547f3dad3b86c,RETROSPECTIVE_SAMPLE_FIRMS,DEFINITION_ONLY_NOT_POINT_IN_TIME,RETROSPECTIVE_SAMPLE_NOT_POINT_IN_TIME
