historical_symbol,requirement_count,first_date,last_date,required_dates
ALGN,22,2013-09-18,2013-10-17,2013-09-18|2013-09-19|2013-09-20|2013-09-23|2013-09-24|2013-09-25|2013-09-26|2013-09-27|2013-09-30|2013-10-01|2013-10-02|2013-10-03|2013-10-04|2013-10-07|2013-10-08|2013-10-09|2013-10-10|2013-10-11|2013-10-14|2013-10-15|2013-10-16|2013-10-17
ALNY,22,2015-01-13,2015-02-12,2015-01-13|2015-01-14|2015-01-15|2015-01-16|2015-01-20|2015-01-21|2015-01-22|2015-01-23|2015-01-26|2015-01-27|2015-01-28|2015-01-29|2015-01-30|2015-02-02|2015-02-03|2015-02-04|2015-02-05|2015-02-06|2015-02-09|2015-02-10|2015-02-11|2015-02-12
ALSN,22,2015-03-26,2015-04-27,2015-03-26|2015-03-27|2015-03-30|2015-03-31|2015-04-01|2015-04-02|2015-04-06|2015-04-07|2015-04-08|2015-04-09|2015-04-10|2015-04-13|2015-04-14|2015-04-15|2015-04-16|2015-04-17|2015-04-20|2015-04-21|2015-04-22|2015-04-23|2015-04-24|2015-04-27
AMD,22,2013-09-18,2013-10-17,2013-09-18|2013-09-19|2013-09-20|2013-09-23|2013-09-24|2013-09-25|2013-09-26|2013-09-27|2013-09-30|2013-10-01|2013-10-02|2013-10-03|2013-10-04|2013-10-07|2013-10-08|2013-10-09|2013-10-10|2013-10-11|2013-10-14|2013-10-15|2013-10-16|2013-10-17
